ID,level,trial,time_played,N_attempt,done,expectancy,SoC,crashed,N_drift,N_prior_crashs,SoC_last_trial,trials_since_last_crash,crashed_in_last_trial,consecutive_crash_success,N_consecutive_crash_success
SA24RG,56,26,17.65771746635437,1,False,3,5,1,4,24,2.0,19,1,0,2
SA24RG,19,27,19.34883713722229,1,False,4,3,1,4,25,5.0,20,1,0,2
SA24RG,27,28,8.55483603477478,1,False,5,2,1,1,26,3.0,21,1,0,2
SA24RG,60,29,12.33216428756714,1,False,5,4,1,2,27,2.0,22,1,0,2
SA24RG,23,30,13.358306884765623,1,False,5,3,1,2,28,4.0,23,1,0,2
SA24RG,46,31,17.350356817245483,1,False,5,5,1,2,29,3.0,24,1,0,2
SA24RG,59,32,9.713972806930542,1,False,3,4,1,1,30,5.0,25,1,0,2
SA24RG,10,33,14.052839517593384,1,False,4,2,1,3,31,4.0,26,1,0,2
SA24RG,79,34,13.058170795440674,2,False,3,2,1,1,32,2.0,27,1,0,2
SA24RG,57,35,18.290929079055783,1,True,1,6,0,4,33,2.0,1,1,1,3
SA24RG,1,36,14.449732303619385,2,False,5,3,1,2,33,6.0,0,0,0,3
SA24RG,78,37,22.313767433166504,1,True,5,6,0,4,34,3.0,1,1,1,4
SA24RG,28,38,9.394525527954102,2,False,5,5,1,2,34,6.0,0,0,0,4
SA24RG,23,39,10.997266054153442,2,False,6,5,1,2,35,5.0,1,1,0,4
SA24RG,33,40,6.773449897766113,1,False,5,5,1,1,36,5.0,2,1,0,4
SA24RG,49,41,9.709292888641356,1,False,5,4,1,2,37,5.0,3,1,0,4
SA24RG,11,42,26.706093549728397,1,False,5,2,1,1,38,4.0,4,1,0,4
SA24RG,40,43,16.738141298294067,1,True,5,5,0,4,39,2.0,1,1,1,5
SA24RG,6,44,14.793171882629396,1,False,5,4,1,3,39,5.0,0,0,0,5
SA24RG,60,45,13.823512315750122,2,False,5,3,1,4,40,4.0,1,1,0,5
SA24RG,42,46,9.336897134780884,1,False,5,2,1,1,41,3.0,2,1,0,5
SA24RG,34,47,26.62243247032165,1,False,5,4,1,1,42,2.0,3,1,0,5
SA24RG,61,48,8.827189922332764,1,False,3,2,1,1,43,4.0,4,1,0,5
SA24RG,34,49,6.802891492843628,2,False,6,2,1,1,44,2.0,5,1,0,5
SA24RG,7,50,10.951380252838137,2,False,5,4,1,3,45,2.0,6,1,0,5
SA24RG,35,51,8.78668999671936,1,False,4,4,1,1,46,4.0,7,1,0,5
SA24RG,75,52,9.695847034454346,1,False,3,3,1,2,47,4.0,8,1,0,5
SA24RG,75,53,18.180699825286865,2,True,4,6,0,4,48,3.0,1,1,1,6
SA24RG,52,54,18.763670444488525,1,False,4,5,1,4,48,6.0,0,0,0,6
SA24RG,59,55,8.977363586425781,2,False,5,4,1,1,49,5.0,1,1,0,6
SA24RG,65,56,14.246943950653076,1,False,5,3,1,2,50,4.0,2,1,0,6
SA24RG,72,57,23.54930567741394,3,True,5,6,0,4,51,3.0,1,1,1,7
SA24RG,70,58,13.51475191116333,1,False,5,3,1,1,51,6.0,0,0,0,7
SA24RG,11,59,17.553529024124146,2,False,5,5,1,4,52,3.0,1,1,0,7
SA24RG,46,60,23.173020362854004,2,True,5,6,0,4,53,5.0,1,1,1,8
SA24RG,41,61,18.96835422515869,2,False,5,6,1,4,53,6.0,0,0,0,8
SA24RG,69,62,10.599981546401978,1,False,6,3,1,2,54,6.0,1,1,0,8
SA24RG,35,63,28.362449884414676,2,True,5,6,0,4,55,3.0,1,1,1,9
SA24RG,55,64,18.236990451812744,1,True,4,6,0,4,55,6.0,2,0,0,9
SA24RG,15,65,17.81294870376587,2,True,5,6,0,4,55,6.0,3,0,0,9
SA24RG,59,66,7.838977336883545,3,False,4,5,1,1,55,6.0,0,0,0,9
SA24RG,80,67,12.33120083808899,1,False,5,4,1,3,56,5.0,1,1,0,9
SA24RG,60,68,6.308623552322388,3,False,5,4,1,1,57,4.0,2,1,0,9
SA24RG,43,69,16.307145595550537,2,True,5,5,0,4,58,4.0,1,1,1,10
SA24RG,48,70,12.37773084640503,1,False,5,3,1,3,58,5.0,0,0,0,10
SA24RG,50,71,7.581312894821167,1,False,5,3,1,1,59,3.0,1,1,0,10
SA24RG,79,72,17.136923789978027,3,True,5,5,0,4,60,3.0,1,1,1,11
SA24RG,39,73,10.921610355377195,2,False,6,3,1,2,60,5.0,0,0,0,11
SA24RG,14,74,17.35483169555664,1,False,6,3,1,2,61,3.0,1,1,0,11
SA24RG,74,75,15.3419828414917,1,False,5,4,1,3,62,3.0,2,1,0,11
SA24RG,9,76,9.558836936950684,1,False,5,2,1,2,63,4.0,3,1,0,11
SA24RG,51,77,8.781311988830566,1,False,5,3,1,1,64,2.0,4,1,0,11
SA24RG,24,78,18.66401433944702,3,False,5,5,1,4,65,3.0,5,1,0,11
SA24RG,65,79,12.889652729034424,2,False,5,3,1,2,66,5.0,6,1,0,11
SA24RG,37,80,19.73638916015625,1,True,4,6,0,4,67,3.0,1,1,1,12
SA24RG,9,81,18.512508392333984,2,True,5,6,0,4,67,6.0,2,0,0,12
SA24RG,29,82,8.059591293334961,1,False,5,5,1,1,67,6.0,0,0,0,12
SA24RG,26,83,12.93222188949585,1,False,5,4,1,2,68,5.0,1,1,0,12
SA24RG,64,84,21.758074283599854,2,False,5,4,1,4,69,4.0,2,1,0,12
SA24RG,33,85,16.939358234405518,2,False,5,4,1,1,70,4.0,3,1,0,12
SA24RG,26,86,17.82210063934326,2,True,5,6,0,4,71,4.0,1,1,1,13
SA24RG,4,87,20.101659297943115,2,True,5,6,0,4,71,6.0,2,0,0,13
SA24RG,64,88,15.170785665512083,3,False,6,5,1,4,71,6.0,0,0,0,13
SA24RG,52,89,17.1982524394989,2,False,6,6,1,4,72,5.0,1,1,0,13
SA24RG,80,90,16.417055130004883,2,True,6,6,0,4,73,6.0,1,1,1,14
SA24RG,7,91,14.830260515213013,3,False,5,4,1,2,73,6.0,0,0,0,14
SA24RG,5,92,6.161838054656982,2,False,5,3,1,1,74,4.0,1,1,0,14
SA24RG,74,93,18.900861024856567,2,True,4,6,0,4,75,3.0,1,1,1,15
SA24RG,22,94,8.664865732192993,1,False,5,4,1,1,75,6.0,0,0,0,15
SA24RG,23,95,18.136380672454838,3,True,5,6,0,4,76,4.0,1,1,1,16
SA24RG,16,96,12.704260349273682,1,False,6,4,1,2,76,6.0,0,0,0,16
SA24RG,22,97,7.260162353515625,2,False,5,3,1,1,77,4.0,1,1,0,16
SA24RG,73,98,6.7160491943359375,1,False,6,3,1,1,78,3.0,2,1,0,16
SA24RG,3,99,8.298836708068848,1,False,6,4,1,1,79,3.0,3,1,0,16
SA24RG,41,100,7.737279176712036,3,False,6,4,1,1,80,4.0,4,1,0,16
SA24RG,71,101,18.99573516845703,1,False,6,4,1,3,81,4.0,5,1,0,16
SA24RG,32,102,24.312147855758667,1,True,5,6,0,4,82,4.0,1,1,1,17
SA24RG,33,103,16.778834104537964,3,True,6,6,0,4,82,6.0,2,0,0,17
SA24RG,20,104,6.161599397659302,2,False,6,4,1,1,82,6.0,0,0,0,17
SA24RG,3,105,11.05130910873413,2,False,5,4,1,1,83,4.0,1,1,0,17
SA24RG,58,106,16.670345306396484,1,False,5,3,1,2,84,4.0,2,1,0,17
SA24RG,10,107,15.866697788238524,2,False,5,4,1,2,85,3.0,3,1,0,17
SA24RG,73,108,9.079899549484251,2,False,5,3,1,2,86,4.0,4,1,0,17
SA24RG,54,109,11.402055263519289,2,False,5,4,1,2,87,3.0,5,1,0,17
SA24RG,28,110,12.621973037719728,3,False,5,4,1,2,88,4.0,6,1,0,17
SA24RG,38,111,17.753381967544556,1,True,6,6,0,4,89,4.0,1,1,1,18
SA24RG,53,112,17.12809658050537,1,True,6,6,0,4,89,6.0,2,0,0,18
SA24RG,56,113,20.01039147377014,2,True,6,6,0,4,89,6.0,3,0,0,18
SA24RG,36,114,16.76806640625,1,True,6,6,0,4,89,6.0,4,0,0,18
SA24RG,76,115,16.231576204299927,3,False,6,4,1,2,89,6.0,0,0,0,18
SA24RG,30,116,15.807535409927368,2,False,6,5,1,4,90,4.0,1,1,0,18
SA24RG,42,117,6.118638277053833,2,False,5,4,1,1,91,5.0,2,1,0,18
SA24RG,70,118,22.533268928527832,2,False,5,4,1,3,92,4.0,3,1,0,18
SA24RG,25,119,17.97397470474243,1,True,5,6,0,4,93,4.0,1,1,1,19
SA24RG,6,120,16.801679372787476,2,False,6,4,1,3,93,6.0,0,0,0,19
SA24RG,17,121,15.786394834518433,1,False,5,4,1,3,94,4.0,1,1,0,19
SA24RG,21,122,7.651942491531372,2,False,5,5,1,1,95,4.0,2,1,0,19
SA24RG,47,123,17.00554633140564,2,False,5,5,1,4,96,5.0,3,1,0,19
SA24RG,58,124,6.809587240219116,2,False,4,4,1,1,97,5.0,4,1,0,19
SA24RG,44,125,16.612610578536987,1,True,5,6,0,4,98,4.0,1,1,1,20
